x1,x2,x3,x4,y
29.85,18.99,10.26,34.18,450.27
26.2,48.81,26,7.72,599.44
27.73,6.87,31.4,1.37,463.92
29.22,24.83,21.82,6.28,459.4
10.77,16.26,41.73,25.97,687.23
4.93,5.87,6.67,21.54,220.34
5.34,34.16,37.91,48.11,811.22
9.77,38.67,19.94,12.38,466.23
13.04,20.36,0.42,48.33,367.83
13.23,7.21,8.86,41.95,376.74
11.52,11.93,13.43,9.02,276.11
5.3,29.36,33.65,34.52,677.09
40.03,25.18,23.31,17.44,565.42
8.29,2.21,1.17,31.49,205.03
16.73,8.33,2.43,47.46,348.54
2.18,39.23,46.17,35.29,848.78
21.84,16.68,0.8,13.82,211.14
36.12,36.3,33.48,17.5,710.34
12.41,10.9,8.45,8.12,215.38
22.37,33.47,42.96,1.19,680.5
30.66,48.42,41.67,12.76,808.83
49.15,19.76,47.01,23.14,860.3
30.69,20.97,38.85,30.59,757.25
45.07,6.97,12.48,41.74,510.07
16.25,22.07,19.22,35.52,527.05
24.89,1.49,47.19,41.38,807.62
4.14,36.75,3.95,22.09,314.32
11.65,43.27,5.29,44.61,490.27
35.37,46.69,41.87,26.59,887.39
11.19,6.49,37.93,30.16,628.56
3.32,36.7,19.43,24.51,494.04
